Date,GSCPI,GSCPI_3m_change,GSCPI_12m_volatility,is_high_pressure_shock,is_extreme_disruption
1998-01-31,-1.1600516675627888,,,0,0
1998-02-28,-0.4391677873204087,,,0,0
1998-03-31,-0.032844093621728,,,0,0
1998-04-30,-0.0898677943630872,1.0701838731997015,,0,0
1998-05-31,-0.42272603208758386,0.016441755232824817,,0,0
1998-06-30,-0.7637370157024213,-0.7308929220806932,,0,0
1998-07-31,-0.8795098532796454,-0.7896420589165581,,0,0
1998-08-31,-0.890151311860367,-0.46742527977278314,,0,0
1998-09-30,-0.916962722708827,-0.1532257070064057,,0,0
1998-10-31,-0.6392938442912836,0.24021600898836182,,0,0
1998-11-30,-0.8254116338054897,0.06473967805487735,,0,0
1998-12-31,-0.5856797000350213,0.3312830226738056,0.34091691892577153,0,0
1999-01-31,-0.29077697627161964,0.3485168680196639,0.31071597589015687,0,0
1999-02-28,-0.06313436447850271,0.7622772693269869,0.34191943733681524,0,0
1999-03-31,-0.3169818010614239,0.26869789897359747,0.3126985269367703,0,0
1999-04-30,-0.24158238040466187,0.04919459586695776,0.2946393528859954,0,0
1999-05-31,-0.3982314579820198,-0.33509709350351713,0.2958322772963341,0,0
1999-06-30,-0.3739841035220725,-0.057002302460648635,0.2937313212406303,0,0
1999-07-31,-0.6519522575519211,-0.41036987714725925,0.27630665552756223,0,0
1999-08-31,-0.4710880580557116,-0.07285660007369177,0.24997128353653592,0,0
1999-09-30,-0.3883938845557178,-0.01440978103364532,0.20951104357479172,0,0
1999-10-31,-0.14308344703729065,0.5088688105146304,0.21489885179738913,0,0
1999-11-30,-0.18948181037150127,0.2816062476842103,0.17382628684853726,0,0
1999-12-31,-0.183851249864508,0.20454263469120984,0.16103121944861612,0,0
2000-01-31,-0.6042471526820733,-0.46116370564478265,0.18182271017198942,0,0
2000-02-29,-0.4184310394222748,-0.2289492290507735,0.1611968425574666,0,0
2000-03-31,-0.2567428834958882,-0.07289163363138021,0.16374959902857603,0,0
2000-04-30,0.14165897259069823,0.7459061252727716,0.2175109334217025,0,0
2000-05-31,0.33193948155156094,0.7503705209738357,0.28711766671796074,0,0
2000-06-30,0.09003200244423072,0.3467748859401189,0.30228953981468326,0,0
2000-07-31,0.08126389848809022,-0.06039507410260801,0.2823940772134794,0,0
2000-08-31,0.17975661229720669,-0.15218286925435426,0.28129218557587404,0,0
2000-09-30,0.08848519094067561,-0.0015468115035551094,0.27244117975956667,0,0
2000-10-31,-0.4515289185708352,-0.5327928170589254,0.2933452653821705,0,0
2000-11-30,-0.6779646390604842,-0.8577212513576908,0.33756321476758777,0,0
2000-12-31,-0.9067654797401367,-0.9952506706808123,0.40406330849266053,0,0
2001-01-31,-0.851970718793269,-0.4004418002224338,0.43194800202585,0,0
2001-02-28,-0.6685014967702322,0.009463142290252025,0.4480776467602897,0,0
2001-03-31,-0.5596858931485098,0.34707958659162685,0.457438853533653,0,0
2001-04-30,-0.9291097104986046,-0.07713899170533556,0.47460254341484126,0,0
2001-05-31,-1.0487802498046834,-0.38027875303445124,0.45974991315139824,0,0
2001-06-30,-0.6920443605458241,-0.13235846739731427,0.42723660077943754,0,0
2001-07-31,-0.8654136741714868,0.06369603632711773,0.3884576877352826,0,0
2001-08-31,-0.8268351172164677,0.2219451325882157,0.2997123622959499,0,0
2001-09-30,-0.7132242575179698,-0.02117989697214573,0.16904216523432264,0,0
2001-10-31,-1.2677445122597237,-0.4023308380882369,0.19345890612787697,0,0
2001-11-30,-1.5028369718485746,-0.6760018546321068,0.26594240348531567,0,0
2001-12-31,-1.2358452796007002,-0.5226210220827304,0.2828259448028056,0,0
2002-01-31,-1.0448279055268386,0.22291660673288516,0.28345739092581573,0,0
2002-02-28,-0.5828680703690375,0.919968901479537,0.2920333065710389,0,0
2002-03-31,-0.5114066827897931,0.7244385968109072,0.29800707302598384,0,0
2002-04-30,-0.6930262084639878,0.3518016970628508,0.3061192924715408,0,0
2002-05-31,-0.38581409284372986,0.19705397752530768,0.33802219578737686,0,0
2002-06-30,-0.6547297567003998,-0.14332307391060672,0.3398758508480568,0,0
2002-07-31,-0.97884707532076,-0.2858208668567722,0.3417022053261024,0,0
2002-08-31,-1.108583456475998,-0.7227693636322681,0.3483441362215525,0,0
2002-09-30,-1.148796742548756,-0.4940669858483562,0.3509355880912435,0,0
2002-10-31,-1.2564333359354927,-0.2775862606147327,0.3499488461850435,0,0
2002-11-30,-0.7304750698171322,0.3781083866588658,0.3017909467824949,0,0
2002-12-31,-0.6856969476922853,0.4630997948564707,0.2807172664503857,0,0
2003-01-31,-0.6261240835832187,0.630309252352274,0.27554456949051864,0,0
2003-02-28,-0.3274503507216472,0.403024719095485,0.300876875609033,0,0
2003-03-31,-0.35300000979078244,0.33269693790150284,0.31582821192162236,0,0
2003-04-30,-0.5475567080724923,0.07856737551072634,0.32078863534435187,0,0
2003-05-31,-0.1648824925711657,0.1625678581504815,0.34777045243383375,0,0
2003-06-30,-0.1294411828206465,0.22355882697013593,0.38693026255560387,0,0
2003-07-31,-0.031411377192705696,0.5161453308797866,0.414202535806484,0,0
2003-08-31,-0.09140170816772523,0.07348078440344046,0.4029112039158929,0,0
2003-09-30,0.051995793269685016,0.18143697609033152,0.37753526581684,0,0
2003-10-31,-0.30037383978855026,-0.26896246259584455,0.2667614189332866,0,0
2003-11-30,-0.4624764968219202,-0.37107478865419496,0.23986408033866924,0,0
